<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20260114,073000,1.1645,1.16456,1.1644,1.1645,1152
20260114,073500,1.16448,1.16453,1.16437,1.16447,1262
20260114,074000,1.16447,1.16461,1.16444,1.16458,1178
20260114,074500,1.16459,1.16461,1.16436,1.16439,1046
20260114,075000,1.16439,1.16447,1.16436,1.16444,1409
20260114,075500,1.16443,1.16446,1.16435,1.1644,1452
20260114,080000,1.16438,1.16446,1.1643,1.16438,1249
20260114,080500,1.16438,1.16452,1.16435,1.16442,1658
20260114,081000,1.16442,1.16446,1.16432,1.16439,1692
20260114,081500,1.16438,1.16444,1.16426,1.16428,1902
20260114,082000,1.16429,1.16435,1.1642,1.16424,1434
20260114,082500,1.16424,1.16431,1.16417,1.16426,1591
20260114,083000,1.16427,1.16435,1.1642,1.16428,1544
20260114,083500,1.16428,1.16442,1.16422,1.1643,2196
20260114,084000,1.16429,1.16434,1.16418,1.16426,1783
20260114,084500,1.16426,1.16433,1.16416,1.16418,2177
20260114,085000,1.16418,1.16429,1.16413,1.16427,1643
20260114,085500,1.16427,1.16438,1.1642,1.16423,1661
20260114,090000,1.16423,1.1643,1.16412,1.16417,2383
20260114,090500,1.16417,1.16432,1.1641,1.16423,2455
20260114,091000,1.16423,1.16441,1.1642,1.16432,2456
20260114,091500,1.16432,1.16459,1.16431,1.16453,2387
20260114,092000,1.16453,1.16472,1.16445,1.16466,2441
20260114,092500,1.16466,1.1647,1.1645,1.16458,1964
20260114,093000,1.16458,1.16471,1.16451,1.16466,1992
20260114,093500,1.16466,1.16468,1.16449,1.16456,2208
20260114,094000,1.16458,1.16464,1.1645,1.16461,2005
20260114,094500,1.16461,1.16471,1.16449,1.16466,2449
20260114,095000,1.16466,1.16477,1.1645,1.16458,2758
20260114,095500,1.16458,1.1648,1.16442,1.16474,2679
20260114,100000,1.16474,1.16501,1.16473,1.1649,3072
20260114,100500,1.1649,1.16505,1.16474,1.16499,5138
20260114,101000,1.16499,1.16503,1.16479,1.16496,2975
20260114,101500,1.16496,1.1651,1.16487,1.16487,2454
20260114,102000,1.16487,1.1651,1.16485,1.16499,2546
20260114,102500,1.16499,1.1651,1.16494,1.16501,2838
