<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20260108,210000,1.16545,1.16557,1.16434,1.16504,56822
20260108,220000,1.16505,1.16533,1.16444,1.16451,44754
20260108,230000,1.16451,1.16507,1.16424,1.165,44134
20260109,000000,1.165,1.16546,1.16495,1.16511,38967
20260109,010000,1.1651,1.1663,1.16502,1.1659,24494
20260109,020000,1.16586,1.166,1.165,1.16585,4089
20260109,030000,1.16582,1.16625,1.1656,1.16579,9386
20260109,040000,1.16578,1.16581,1.1653,1.16533,21283
20260109,050000,1.16534,1.16571,1.1648,1.16488,37604
20260109,060000,1.16489,1.1655,1.16457,1.16542,33048
20260109,070000,1.16542,1.16592,1.16533,1.16559,27171
20260109,080000,1.1656,1.1657,1.16516,1.16541,22425
20260109,090000,1.16541,1.16562,1.16496,1.16509,25926
20260109,100000,1.16509,1.16529,1.1648,1.16486,30588
20260109,110000,1.16486,1.1651,1.16397,1.16504,49247
20260109,120000,1.16505,1.16531,1.16409,1.16486,60930
20260109,130000,1.16487,1.16503,1.1642,1.16421,41664
20260109,140000,1.16421,1.16469,1.16366,1.16466,40964
20260109,150000,1.16466,1.16471,1.16412,1.16458,34855
20260109,160000,1.16458,1.16461,1.16394,1.16411,48473
20260109,170000,1.16415,1.16608,1.16251,1.1645,135151
20260109,180000,1.1645,1.16526,1.16296,1.16363,144963
20260109,190000,1.16363,1.16409,1.16179,1.16405,122936
20260109,200000,1.16405,1.16434,1.16278,1.16331,74856
20260109,210000,1.16331,1.16345,1.16272,1.16317,56831
20260109,220000,1.16317,1.164,1.16308,1.16339,41513
20260109,230000,1.16339,1.1738,1.16328,1.16346,36613
20260110,000000,1.16346,1.16378,1.16336,1.16343,26660
20260110,010000,1.16345,1.1637,1.16286,1.16338,14379
20260110,020000,1.16338,1.16338,1.16338,1.16338,0
20260111,220000,1.1636,1.1639,1.1635,1.1635,16
20260111,230000,1.1636,1.1636,1.1636,1.1636,24
20260112,000000,1.1635,1.164,1.16344,1.164,27
20260112,020000,1.16318,1.16348,1.16286,1.16294,1861
20260112,030000,1.16294,1.16334,1.16227,1.16234,11272
20260112,040000,1.16236,1.16651,1.16212,1.16645,65407
20260112,050000,1.16645,1.16713,1.16553,1.16557,64663
20260112,060000,1.16558,1.16643,1.16536,1.16545,38680
20260112,070000,1.16545,1.16593,1.16544,1.16551,26897
20260112,080000,1.16551,1.16583,1.16526,1.16555,18625
20260112,090000,1.16555,1.1671,1.16554,1.16688,33824
20260112,100000,1.1669,1.1673,1.16638,1.16696,36876
20260112,110000,1.16696,1.16877,1.1668,1.16848,66207
20260112,120000,1.16848,1.16919,1.16756,1.16881,70950
20260112,130000,1.16879,1.1696,1.16809,1.16815,58197
20260112,140000,1.16815,1.16855,1.16755,1.16853,50849
20260112,150000,1.16853,1.16895,1.16753,1.16784,48298
20260112,160000,1.16784,1.16876,1.16768,1.16811,56698
20260112,170000,1.16811,1.16984,1.16774,1.16927,77011
20260112,180000,1.16927,1.16929,1.16737,1.16766,94448
20260112,190000,1.16766,1.1686,1.16725,1.1681,78889
20260112,200000,1.1681,1.16821,1.1671,1.16716,61716
20260112,210000,1.16716,1.16758,1.16657,1.16684,56878
20260112,220000,1.16684,1.16716,1.16648,1.16686,40127
20260112,230000,1.16687,1.16738,1.16675,1.16718,30413
20260113,000000,1.16718,1.16732,1.16626,1.16648,33122
20260113,010000,1.16648,1.1669,1.16637,1.16663,16335
20260113,020000,1.16662,1.16694,1.16648,1.16682,5937
20260113,030000,1.16682,1.16707,1.16643,1.16673,17573
20260113,040000,1.16673,1.16676,1.16605,1.16634,30295
20260113,050000,1.16634,1.16645,1.16558,1.16583,34633
20260113,060000,1.16581,1.16614,1.16566,1.16589,26716
20260113,070000,1.16589,1.16637,1.1656,1.16585,22319
20260113,080000,1.16585,1.1666,1.16582,1.16654,26785
20260113,090000,1.16654,1.16676,1.16615,1.16626,25709
20260113,100000,1.16626,1.16629,1.16534,1.16585,37067
20260113,110000,1.16585,1.1665,1.16557,1.1664,49062
20260113,120000,1.1664,1.16693,1.16583,1.16689,59196
20260113,130000,1.16689,1.16726,1.16632,1.16717,47929
20260113,140000,1.16717,1.16744,1.16648,1.16661,43400
20260113,150000,1.16661,1.16705,1.16644,1.16687,31917
20260113,160000,1.16684,1.16692,1.16527,1.1655,47934
20260113,170000,1.1655,1.16777,1.16499,1.16684,117033
20260113,180000,1.16684,1.16734,1.1657,1.16635,103320
20260113,190000,1.16636,1.1689,1.16438,1.16516,98270
20260113,200000,1.16518,1.16546,1.16339,1.16455,76873
20260113,210000,1.16455,1.16487,1.16411,1.16459,52323
20260113,220000,1.1646,1.16544,1.1641,1.16529,42003
20260113,230000,1.16531,1.16535,1.16456,1.1649,42230
20260114,000000,1.1649,1.165,1.16448,1.16453,38707
20260114,010000,1.16452,1.16467,1.16414,1.16414,14695
20260114,020000,1.16416,1.16445,1.16405,1.16431,4684
20260114,030000,1.16436,1.16456,1.16413,1.16418,9684
20260114,040000,1.16418,1.16437,1.16376,1.16427,25566
20260114,050000,1.16428,1.16432,1.16365,1.1638,29144
20260114,060000,1.1638,1.16445,1.16358,1.16433,26759
20260114,070000,1.16433,1.1649,1.16433,1.16468,24495
20260114,080000,1.16468,1.1648,1.1643,1.16438,16903
20260114,090000,1.16438,1.16452,1.16412,1.16417,21664
20260114,100000,1.16417,1.16501,1.1641,1.1649,28866
20260114,110000,1.1649,1.16521,1.1644,1.16459,36497
20260114,120000,1.16459,1.16504,1.16407,1.16476,65143
20260114,130000,1.16475,1.1654,1.16457,1.16517,44485
20260114,140000,1.16517,1.1658,1.16465,1.1655,52749
20260114,150000,1.16549,1.1655,1.16436,1.16468,44698
20260114,160000,1.16468,1.166,1.16447,1.16596,62791
20260114,170000,1.16596,1.16598,1.16446,1.16498,75906
20260114,180000,1.16498,1.166,1.16485,1.16555,101716
20260114,190000,1.16555,1.16607,1.1649,1.16597,101496
20260114,200000,1.16597,1.16617,1.16523,1.16543,68424
20260114,210000,1.16543,1.169,1.1645,1.16467,54588
20260114,220000,1.16467,1.1648,1.16377,1.16377,44508
20260114,230000,1.16382,1.16393,1.1635,1.1636,35718
20260115,000000,1.1636,1.16474,1.1636,1.16431,54838
20260115,010000,1.16431,1.16463,1.16417,1.16434,21676
20260115,020000,1.16431,1.16464,1.1639,1.16438,3283
20260115,030000,1.16434,1.16471,1.16411,1.16448,15304
20260115,040000,1.16448,1.16455,1.16352,1.16373,28149
20260115,050000,1.16375,1.16417,1.16328,1.16386,51367
20260115,060000,1.16384,1.1641,1.16358,1.164,29066
20260115,070000,1.164,1.16415,1.16365,1.16386,24893
20260115,080000,1.16385,1.16394,1.16339,1.16345,18383
20260115,090000,1.16345,1.1638,1.16333,1.1635,26030
20260115,100000,1.1635,1.16384,1.16296,1.16329,37444
20260115,110000,1.16328,1.16367,1.16258,1.16286,51941
20260115,120000,1.16286,1.16353,1.16266,1.16305,53642
20260115,130000,1.16305,1.164,1.163,1.16358,55609
20260115,140000,1.16355,1.1641,1.16325,1.16355,45633
20260115,150000,1.16355,1.1638,1.16298,1.16307,41120
20260115,160000,1.16308,1.1635,1.162,1.16226,44710
20260115,170000,1.16225,1.16251,1.15985,1.16013,92710
20260115,180000,1.16013,1.1611,1.15927,1.16007,92651
20260115,190000,1.16008,1.16095,1.15968,1.16022,88361
20260115,200000,1.16022,1.1655,1.1598,1.16045,69839
20260115,210000,1.16045,1.16137,1.1603,1.16088,45364
20260115,220000,1.16088,1.16152,1.16087,1.16145,35734
20260115,230000,1.16146,1.16174,1.16108,1.16136,41587
20260116,000000,1.16136,1.16155,1.16026,1.1604,39351
20260116,010000,1.1604,1.16111,1.16029,1.16079,16376
20260116,020000,1.16079,1.1609,1.16047,1.16065,3267
20260116,030000,1.16064,1.16103,1.16051,1.16089,9664
20260116,040000,1.16089,1.16095,1.16023,1.16036,25444
20260116,050000,1.16037,1.1609,1.1602,1.16067,31632
20260116,060000,1.16067,1.16143,1.16058,1.16095,38035
20260116,070000,1.16093,1.16126,1.16066,1.1612,24779
20260116,080000,1.1612,1.16137,1.16098,1.16108,15149
20260116,090000,1.16108,1.16113,1.16056,1.16065,21196
20260116,100000,1.16066,1.16097,1.16039,1.16092,24335
20260116,110000,1.16092,1.16147,1.16076,1.1612,50274
20260116,120000,1.16118,1.16147,1.16081,1.16092,52251
20260116,130000,1.16091,1.16152,1.16078,1.16082,41205
20260116,140000,1.16083,1.16177,1.16079,1.16131,41199
20260116,150000,1.16128,1.16234,1.16125,1.1619,40906
20260116,160000,1.1619,1.16222,1.16133,1.1619,51533
20260116,170000,1.16189,1.16211,1.16113,1.16185,63977
20260116,180000,1.16185,1.16207,1.16123,1.16181,68432
20260116,190000,1.16181,1.16273,1.15842,1.15933,132343
20260116,200000,1.15933,1.1606,1.1593,1.15981,94026
20260116,210000,1.15981,1.1634,1.15946,1.15954,56763
20260116,220000,1.15953,1.15993,1.1589,1.15954,42629
20260116,230000,1.15953,1.15974,1.15912,1.15962,40855
20260117,000000,1.15962,1.16023,1.1595,1.15992,30563
20260117,010000,1.15992,1.16022,1.1595,1.1595,16330
20260117,020000,1.1595,1.1595,1.1595,1.1595,0
20260118,210000,1.1578,1.1578,1.1578,1.1578,4
20260118,220000,1.1586,1.1589,1.15696,1.15765,475
20260118,230000,1.15765,1.1578,1.15721,1.15746,187
20260119,000000,1.1575,1.1585,1.1574,1.15839,250
20260119,010000,1.1585,1.1588,1.15806,1.15826,269
20260119,020000,1.15815,1.15868,1.15758,1.15829,8509
20260119,030000,1.15829,1.16271,1.15769,1.1624,62718
20260119,040000,1.16243,1.1638,1.1604,1.16317,86893
20260119,050000,1.16319,1.16345,1.16216,1.16225,63677
20260119,060000,1.16225,1.16237,1.16154,1.16174,47572
20260119,070000,1.16175,1.16263,1.16158,1.16243,32477
20260119,080000,1.16243,1.16337,1.16241,1.1633,32189
20260119,090000,1.1633,1.16376,1.16264,1.16273,33081
20260119,100000,1.16273,1.16325,1.16245,1.16277,35006
20260119,110000,1.16278,1.16415,1.16227,1.16259,67364
20260119,120000,1.16259,1.1628,1.16182,1.16248,64072
20260119,130000,1.16248,1.163,1.16109,1.16241,62545
20260119,140000,1.16241,1.16286,1.16217,1.16239,44256
20260119,150000,1.16239,1.1629,1.16198,1.16276,36264
20260119,160000,1.16276,1.16333,1.16249,1.16255,42640
20260119,170000,1.16255,1.16355,1.16253,1.16315,46820
20260119,180000,1.16315,1.16426,1.16298,1.16397,47814
20260119,190000,1.16397,1.16434,1.16316,1.16398,58976
20260119,200000,1.16398,1.16473,1.16372,1.16419,35092
20260119,210000,1.16418,1.16466,1.16393,1.16457,20561
